feature,importance
1,0.006463021318900229
2,0.006345874209534053
507,0.005721820112026309
1838,0.005218345926790433
1529,0.005067617195590561
2646,0.005032761177605955
2648,0.004909474337561919
1923,0.004863539344658826
3741,0.00476760187386811
3222,0.004675327700241383
3743,0.004545620764551695
1842,0.004482918265458024
0,0.0044191301396569104
613,0.004342031920498419
3036,0.0043304063317776914
601,0.0041880749288431916
4111,0.004064564565237698
3184,0.00398130868024149
3993,0.003949338108935901
4851,0.0038897600911589336
260,0.0038747495649321824
603,0.003869588661061631
4948,0.0037760649554017477
10,0.003593184813941423
3183,0.003569756535195685
103,0.0035415266402773365
138,0.0035394599485939417
1530,0.003537027311203026
3221,0.0034976016575008367
1841,0.003495538175012344
128,0.0034881119113334825
4616,0.00340459569216074
3476,0.0033790953850111253
129,0.003246639771885161
3431,0.0032432373081520754
113,0.0030943022365412243
1662,0.003076492605129945
2310,0.0030269778922648715
137,0.0029485363180778252
3430,0.0028750057035980057
774,0.002816194068319887
2718,0.0027695113334363477
277,0.0026862887054755705
2673,0.0026821670079730225
2916,0.0026704185443020096
184,0.0026483601200781586
56,0.0025985513998254845
844,0.00259797699244553
3226,0.0025610542336976906
2361,0.0025302565742630913
1848,0.0025059517486315736
1840,0.002486068902164757
1963,0.002439236625535218
4349,0.002424080111159362
11,0.002413171481506266
1399,0.0024128977380742152
339,0.0023851545841543846
4990,0.002383311776721483
1518,0.002375593330064542
318,0.0023732246064788794
4081,0.0023489558704647947
270,0.0023430427409247574
3990,0.002336754558451626
2150,0.002313103249096593
4084,0.0022840303211258337
4436,0.0022803322433095413
1770,0.002241810025198816
4812,0.002224421428970561
1394,0.0022112207073665545
3225,0.002171501819842391
611,0.0021600894160608043
915,0.0021040638931477088
4886,0.0020980156899048736
624,0.0020879285766831025
3262,0.002086910176346004
634,0.0020709335837652415
668,0.002053550749979557
28,0.0020418477669489664
2846,0.002040464440834871
1839,0.0020394160225226804
2792,0.00203381602117926
1400,0.002032824734951208
3076,0.0020273646363226467
73,0.001988414302444096
139,0.001958868231204528
329,0.0019132224834523994
2207,0.0019041398685176539
1603,0.0018873035072216357
4920,0.0018756457546100702
3220,0.001875237143567599
1392,0.001859887447295601
90,0.0018172653528133105
1598,0.0018129019874944263
266,0.001791556134435953
